trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",20,0,-142.79789256239638,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",20,0,-96.51961913064875,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",20,0,-47.12396016082731,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",30,0,-197.99947215243967,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",30,12,-78.08002491107062,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 0}",1
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",20,0,-81.19218432707243,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,0,-78.7794344297579,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",20,0,-61.106884949233,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,5,-78.48548673700684,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",25,0,-82.8223734040928,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",20,0,-44.4186407123508,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",25,0,-89.21965035875719,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,0,21.064990985228473,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",30,9,-21.70029348639803,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",25,0,-17.09775515258743,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",30,17,-4.454792948802587,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",25,17,16.800945522037704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",20,4,27.362023818119567,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",30,11,26.268699924792024,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",25,9,-42.15344728212762,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,6,22.62831618080728,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,10,34.08658870890172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,13,22.852567326954055,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,21.401317923654723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-24.872581572603927,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,14.079028344590553,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,3,5.865293595876688,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,8.954599019901178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,11.757781482873819,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,22.205963079857597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
