trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.951229424500714}",30,0,-187.4479731749267,"{0: 16, 1: 6, 2: 2, 3: 4, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,15,-69.45979028767628,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.05, 'e': 0.8607079764250578}",25,0,-112.34378411047436,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,0,-61.49527519437168,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.7788007830714049}",25,0,-39.71262254011567,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.7408182206817179}",25,8,-122.30825582465579,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 1}",1
7,False,"{'a': 0.05, 'e': 0.7046880897187134}",25,0,-78.27210132610256,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,0,-130.90695485341703,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.6376281516217733}",30,10,-76.894234051951,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.05, 'e': 0.6065306597126334}",25,0,-205.999781982123,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-93.01024867587722,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.5488116360940264}",20,0,-102.08456061219766,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.522045776761016}",20,0,-105.49834419496186,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.49658530379140947}",25,0,-93.56618310023893,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.4723665527410147}",20,0,-95.91820974284555,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.44932896411722156}",25,1,-64.26225289476865,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.42741493194872665}",20,0,-62.304560266863454,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.05, 'e': 0.4065696597405991}",20,0,9.230136226889684,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.05, 'e': 0.3867410234545012}",20,0,-96.33750528317137,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.05, 'e': 0.36787944117144233}",20,0,-148.23759608733295,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
21,False,"{'a': 0.05, 'e': 0.3499377491111553}",20,15,0.2735415390539546,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.05, 'e': 0.33287108369807955}",30,0,-106.93316965194936,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
23,False,"{'a': 0.05, 'e': 0.31663676937905316}",30,0,-92.9172609680168,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.05, 'e': 0.301194211912202}",35,18,-3.2949382763798676,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.05, 'e': 0.2865047968601901}",30,0,-57.3819915892739,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.05, 'e': 0.2725317930340126}",25,0,-30.62740085628176,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.2592402606458915}",30,10,-21.887508843094803,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.05, 'e': 0.24659696394160643}",25,0,-31.650449267588716,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.23457028809379762}",25,0,-4.914221553606298,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.22313016014842982}",20,9,11.12632214226364,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
